	Domain	Group	Clade	Kingdom	Subkingdom	Division	Subdivision	Class	Order	Family	Genus	Species
Tomentella_radiosa	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_radiosa
Thelephora_aurantiotincta	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_aurantiotincta
Thelephora_digitata	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_digitata
Tomentella_tedersooi	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_tedersooi
Thelephora_pseudoversatilis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_pseudoversatilis
Thelephora_corticioides	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_corticioides
Tomentella_guineensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_guineensis
Thelephora_anthocephala	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_anthocephala
Tomentella_muricata	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_muricata
Tomentella_tenuis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_tenuis
Tomentella_parmastoana	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_parmastoana
Tomentella_pileocystidiata	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pileocystidiata
Tomentella_afrostuposa	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_afrostuposa
Tomentella_larssoniana	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_larssoniana
Thelephora_palmata	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_palmata
Tomentella_pulvinulata	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pulvinulata
Tomentella_asperula	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_asperula
Leucoagaricus_gongylophorus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_gongylophorus
Leucoagaricus_leucothites	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_leucothites
Leucocoprinus_sp	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucocoprinus	unidentified
Agaricaceae_sp	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	unidentified	unidentified
Leucoagaricus_nympharum	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_nympharum
Leucoagaricus_cupresseus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_cupresseus
Leucoagaricus_adelphicus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_adelphicus
Leucoagaricus_amanitoides	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_amanitoides
Lepiota_sp	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Lepiota	unidentified
Leucoagaricus_sp	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	unidentified
Leucoagaricus_barssii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_barssii
Leucoagaricus_cinerascens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_cinerascens
Leucoagaricus_hesperius	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_hesperius
Leucoagaricus_tangerinus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_tangerinus
Leucoagaricus_pilatianus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_pilatianus
Leucoagaricus_dacrytus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_dacrytus
Leucoagaricus_amazonicus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_amazonicus
Leucoagaricus_dyscritus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_dyscritus
Agaricomycetes_sp	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	unidentified	unidentified	unidentified	unidentified
Cortinarius_cinnamomeus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_cinnamomeus
Cortinarius_marylandensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_marylandensis
Cortinarius_alpinus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_alpinus
Cortinarius_multiformis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_multiformis
Cortinarius_malicorius	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_malicorius
Cortinarius_tenuifulvescens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_tenuifulvescens
Cortinarius_caperatus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_caperatus
Cortinarius_glaucopus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_glaucopus
Cortinarius_argyrionus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_argyrionus
Cortinarius_violaceus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_violaceus
Cortinarius_brunneotinctus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_brunneotinctus
Cortinarius_elegantio-occidentalis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_elegantio-occidentalis
Cortinarius_largus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_largus
Cortinarius_austrovenetus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_austrovenetus
Cortinarius_junghuhnii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_junghuhnii
Cortinarius_scaurus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_scaurus
Cortinarius_napus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_napus
Cortinarius_balteatus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_balteatus
Cortinarius_laetus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_laetus
Cortinarius_delibutus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_delibutus
